Title,Heading,Content,Tokens,Context,Questions,Answers
Aaruush - Largest Techno-Management Fest,Description,"As one of the largest techno-management fests in the country, Aaruush is a one-stop destination for brilliant and like minded individuals who shall spearhead the future. A stellar legacy that stands for the first rays of sun has embarked a journey of crossing milestones every year.",49,"Aaruush - Largest Techno-Management Fest
Description

As one of the largest techno-management fests in the country, Aaruush is a one-stop destination for brilliant and like minded individuals who shall spearhead the future. A stellar legacy that stands for the first rays of sun has embarked a journey of crossing milestones every year.","1. What is Aaruush?
2. What is the purpose of Aaruush?
3. What are the goals of Aaruush?
4. What is the legacy of Aaruush?
5. What is the journey of Aaruush?","1. Aaruush is a techno-management fest.
2. The purpose of Aaruush is to bring together brilliant and like-minded individuals who will spearhead the future.
3. The goals of Aaruush are to provide a platform for exchange of ideas, to create opportunities for networking, and to foster innovation.
4. The legacy of Aaruush is its ability to bring together brilliant and like-minded individuals who will spearhead the future.
5. The journey of Aaruush is one of crossing milestones every year."
Aaruush - National Level Fest,Description,"Aaruush is the student-run national level Techno-Management Fest of SRM Institute of Science and Technology. Since its inception in 2007, the stellar legacy of the fest was inaugurated by late President, Dr A. P. J. Abdul Kalam, laying the foundation and paving the way for the milestones to overcome in the future. This year marks the sixteenth edition of Aaruush.",66,"Aaruush - National Level Fest
Description

Aaruush is the student-run national level Techno-Management Fest of SRM Institute of Science and Technology. Since its inception in 2007, the stellar legacy of the fest was inaugurated by late President, Dr A. P. J. Abdul Kalam, laying the foundation and paving the way for the milestones to overcome in the future. This year marks the sixteenth edition of Aaruush.","1. What is the name of the fest?
2. When did it start?
3. Who inaugurated it?
4. What are the milestones of the fest?","1. Aaruush is the student-run national level Techno-Management Fest of SRM Institute of Science and Technology.
2. It started in 2007.
3. Late President, Dr A. P. J. Abdul Kalam inaugurated it.
4. The milestones of the fest are:
- Inaugurated by late President, Dr A. P. J. Abdul Kalam in 2007.
- Paved the way for the milestones to overcome in the future.
- Marks the sixteenth edition of Aaruush."
SRMIST,Higher Education,"SRMIST has been a stalwart pillar in the field of higher education since 1985. With over 50,000 students, including international students from more than 64 countries, state-of-the-art infrastructure and research facilities, library, smart classrooms, SRMIST is one of the top ranked private institutions in our nation.",53,"SRMIST
Higher Education

SRMIST has been a stalwart pillar in the field of higher education since 1985. With over 50,000 students, including international students from more than 64 countries, state-of-the-art infrastructure and research facilities, library, smart classrooms, SRMIST is one of the top ranked private institutions in our nation.",1. What is SRMIST?,1. SRMIST is a private institution in India that offers higher education.
SRMIST,Recognitions,"By receiving accreditations from national agencies such as the Category 1 University recognition and 12B status by UGC, SRMIST has obtained the prestigious 'A++' grade from the NAAC, and ranked 30th under the University category by NIRF, 2021.",44,"SRMIST
Recognitions

By receiving accreditations from national agencies such as the Category 1 University recognition and 12B status by UGC, SRMIST has obtained the prestigious 'A++' grade from the NAAC, and ranked 30th under the University category by NIRF, 2021.","1. What is the 'A++' grade from the NAAC?
2. What is the ranking of SRMIST under the University category by NIRF?
3. What is the Category 1 University recognition?
4. What is the 12B status by UGC?","1. The 'A++' grade from the NAAC is the highest grade that can be awarded to a university.
2. SRMIST is ranked 30th under the University category by NIRF.
3. The Category 1 University recognition is the highest recognition that can be awarded to a university.
4. The 12B status by UGC is the highest status that can be awarded to a university."
SRMIST,Fields of Study,"By providing a wide range of undergraduate, postgraduate and doctoral programs in Engineering, Management, Medicine and Health Sciences, and Science and Humanities, SRM is marked as a pioneer in the mission of guiding young minds on the trail of innovation.",46,"SRMIST
Fields of Study

By providing a wide range of undergraduate, postgraduate and doctoral programs in Engineering, Management, Medicine and Health Sciences, and Science and Humanities, SRM is marked as a pioneer in the mission of guiding young minds on the trail of innovation.","1. What is SRM's focus on undergraduate education?
2. What are the different fields of study at SRM?
3. What makes SRM a pioneer in the field of education?","1. SRM's focus on undergraduate education is in the fields of Engineering, Management, Medicine and Health Sciences, and Science and Humanities.
2. The different fields of study at SRM are Engineering, Management, Medicine and Health Sciences, and Science and Humanities.
3. What makes SRM a pioneer in the field of education is its wide range of undergraduate, postgraduate, and doctoral programs in these fields."
Aaruush,Introduction,"The word 'Aaruush' translates to 'the first rays of the sun'. Started by four visionary final year students of the college, Aaruush was initially intended to be a technical fest; consisting of 26 events and over 3000 participants, but it exceeded the expectations of all. And so successful was the idea, that the inauguration was presided over by the former president of India, Dr. A.P.J. Abdul Kalam",77,"Aaruush
Introduction

The word 'Aaruush' translates to 'the first rays of the sun'. Started by four visionary final year students of the college, Aaruush was initially intended to be a technical fest; consisting of 26 events and over 3000 participants, but it exceeded the expectations of all. And so successful was the idea, that the inauguration was presided over by the former president of India, Dr. A.P.J. Abdul Kalam","1. What is the meaning of the word 'Aaruush'?
2. What was the original intention of Aaruush?
3. How successful was Aaruush?
4. Who presided over the inauguration of Aaruush?","1. The word 'Aaruush' translates to 'the first rays of the sun'.
2. The original intention of Aaruush was to be a technical fest; consisting of 26 events and over 3000 participants, but it exceeded the expectations of all.
3. Aaruush was successful beyond the expectations of all involved.
4. The inauguration of Aaruush was presided over by the former president of India, Dr. A.P.J. Abdul Kalam."
Expansion,Growth,"After its noteworthy beginning in 2007, there was no looking back, it only kept getting better each year. The following year saw Aaruush go national, with over 4500 participants from over 24 states. It was in 2009 that Aaruush evolved from merely a technical fest, to a Techno-Management extravaganza, as we saw the inclusion of two new domains - Fundaz and Online.",70,"Expansion
Growth

After its noteworthy beginning in 2007, there was no looking back, it only kept getting better each year. The following year saw Aaruush go national, with over 4500 participants from over 24 states. It was in 2009 that Aaruush evolved from merely a technical fest, to a Techno-Management extravaganza, as we saw the inclusion of two new domains - Fundaz and Online.","1. What was the main focus of Aaruush in 2007?
2. How many states were represented in Aaruush in 2009?
3. What was the focus of Aaruush in 2009?","1. The main focus of Aaruush in 2007 was technology.
2. Aaruush was represented by participants from 24 states in 2009.
3. The focus of Aaruush in 2009 was techno-management."
Reputation,Tie-Ups,"The reputation of Aaruush kept rising, with fresh tie ups with organizations like European Southern Observatory, IEEE, European Space Agency, and even had DRDO unveil its latest technology 'Arjun' tank at our premises. Reputed NGOs like PETA, HOPE, CRY have associated with Aaruush, reflecting its social responsibility.",57,"Reputation
Tie-Ups

The reputation of Aaruush kept rising, with fresh tie ups with organizations like European Southern Observatory, IEEE, European Space Agency, and even had DRDO unveil its latest technology 'Arjun' tank at our premises. Reputed NGOs like PETA, HOPE, CRY have associated with Aaruush, reflecting its social responsibility.","1. What is the significance of Aaruush's tie-ups with European Southern Observatory, IEEE, European Space Agency, and DRDO?
2. What is the significance of Aaruush's tie-ups with PETA, HOPE, and CRY?","1. The significance of Aaruush's tie-ups with European Southern Observatory, IEEE, European Space Agency, and DRDO is that it has given Aaruush a good reputation.
2. The significance of Aaruush's tie-ups with PETA, HOPE, and CRY is that it has shown that Aaruush is a responsible organization."
Aaruush,Eminent Personalities,"Aaruush 2012 and 2013 hosted several stalwarts such as Dr. Richard Matthew Stallman, Mr. Rajan Anandan, Dr. Tessy Thomas, Mr. Aakash Sinha, all sharing their knowledge with the participants. Aaruush 2014 saw us welcome eminent personalities such as Dr. Krishnaswamy Kasturirangan, Anuraag Batra, Dr. Eshwar Natarajan and also welcomed Mr. Sam Pitroda, all the way from America, with the help of state of the art video conferencing technology.",78,"Aaruush
Eminent Personalities

Aaruush 2012 and 2013 hosted several stalwarts such as Dr. Richard Matthew Stallman, Mr. Rajan Anandan, Dr. Tessy Thomas, Mr. Aakash Sinha, all sharing their knowledge with the participants. Aaruush 2014 saw us welcome eminent personalities such as Dr. Krishnaswamy Kasturirangan, Anuraag Batra, Dr. Eshwar Natarajan and also welcomed Mr. Sam Pitroda, all the way from America, with the help of state of the art video conferencing technology.","1. Who are some of the eminent personalities who have spoken at Aaruush?
2. What topics do these personalities typically speak about?
3. How does Aaruush use technology to bring in speakers from around the world?","1. Some of the eminent personalities who have spoken at Aaruush include Dr. Richard Matthew Stallman, Mr. Rajan Anandan, Dr. Tessy Thomas, Mr. Aakash Sinha, and Dr. Krishnaswamy Kasturirangan.
2. These personalities typically speak about topics such as technology, innovation, and entrepreneurship.
3. Aaruush uses technology to bring in speakers from around the world by using video conferencing technology."
Aaruush,Overview,"The Events Team hosts activities ranging from Architecture to Medical Sciences, Entrepreneurship to Robotics, and Game Development to Aeromodelling. The team comprises 14 domains and is assisted by 14 Aaruush committees and Team Envision.",38,"Aaruush
Overview

The Events Team hosts activities ranging from Architecture to Medical Sciences, Entrepreneurship to Robotics, and Game Development to Aeromodelling. The team comprises 14 domains and is assisted by 14 Aaruush committees and Team Envision.","1. What are the different domains that the Events Team covers?
2. What are the committees that help the Events Team?
3. What is Team Envision and what does it do?","1. The different domains that the Events Team covers are Architecture, Medical Sciences, Entrepreneurship, Robotics, Game Development, and Aeromodelling.
2. The committees that help the Events Team are the 14 Aaruush committees and Team Envision.
3. Team Envision is a committee that helps the Events Team with event planning and execution."
Aaruush Initiatives,Overview,"Aaruush has an astounding list of initiatives, events, and challenges that have set a benchmark and proved to be the torchbearers of the future.",27,"Aaruush Initiatives
Overview

Aaruush has an astounding list of initiatives, events, and challenges that have set a benchmark and proved to be the torchbearers of the future.","1. What is Aaruush's goal?
2. What are some of Aaruush's initiatives?
3. What makes Aaruush's initiatives unique?
4. How have Aaruush's initiatives impacted the community?","1. Aaruush's goal is to set a benchmark and prove to be the torchbearers of the future.
2. Some of Aaruush's initiatives include the Aaruush Film Festival, the Aaruush Literary Festival, and the Aaruush Art Festival.
3. What makes Aaruush's initiatives unique is that they are not just one-time events, but rather they are ongoing challenges that aim to impact the community in a positive way.
4. Aaruush's initiatives have impacted the community by promoting creativity and culture, and by providing a platform for people to come together and share their ideas."
Aaruush Domains,Architecture,"A domain that aims to promote architecture as a versatile and evolving field by conducting workshops, competitions and events.",21,"Aaruush Domains
Architecture

A domain that aims to promote architecture as a versatile and evolving field by conducting workshops, competitions and events.","1. What is the goal of Aaruush Domains?
2. What type of events does Aaruush Domains conduct?
3. How does Aaruush Domains promote architecture?","1. The goal of Aaruush Domains is to promote architecture as a versatile and evolving field.
2. Aaruush Domains conducts workshops, competitions, and events to promote architecture.
3. Aaruush Domains promotes architecture by conducting workshops, competitions, and events."
Aaruush Domains,Automation and Robotics,"A domain that aims to promote robotics and automation as a versatile and evolving field by conducting workshops, competitions and events.",23,"Aaruush Domains
Automation and Robotics

A domain that aims to promote robotics and automation as a versatile and evolving field by conducting workshops, competitions and events.","1. What is the goal of Aaruush Domains?
2. What types of events does Aaruush Domains host?
3. What do participants in Aaruush Domains events learn?","1. The goal of Aaruush Domains is to promote robotics and automation as a versatile and evolving field.
2. Aaruush Domains hosts workshops, competitions, and events.
3. Participants in Aaruush Domains events learn about robotics and automation and how to use them in a variety of applications."
Aaruush Domains,Business and Entrepreneurship,"A domain that aims to encourage and empower aspiring entrepreneurs by conducting workshops, competitions, and events.",19,"Aaruush Domains
Business and Entrepreneurship

A domain that aims to encourage and empower aspiring entrepreneurs by conducting workshops, competitions, and events.","1. What is Aaruush Domains?
2. What does Aaruush Domains aim to do?
3. What are some of the events and activities that Aaruush Domains conducts?","1. Aaruush Domains is a domain that aims to encourage and empower aspiring entrepreneurs.
2. Aaruush Domains aims to conduct workshops, competitions, and events that will empower and encourage aspiring entrepreneurs.
3. Some of the events and activities that Aaruush Domains conducts are workshops, competitions, and events."
Aaruush Domains,Computer Science,"A domain that aims to promote computer science and technology as a versatile and evolving field by conducting workshops, competitions, and events.",25,"Aaruush Domains
Computer Science

A domain that aims to promote computer science and technology as a versatile and evolving field by conducting workshops, competitions, and events.","1. What is the goal of Aaruush Domains?
2. What type of events does Aaruush Domains conduct?
3. What do participants learn at Aaruush Domains events?","1. The goal of Aaruush Domains is to promote computer science and technology as a versatile and evolving field.
2. Aaruush Domains conducts workshops, competitions, and events.
3. Participants learn about computer science and technology at Aaruush Domains events."
Aaruush Domains,Electronic and Communication,"A domain that aims to promote electronics and communication as a versatile and evolving field by conducting workshops, competitions, and events.",24,"Aaruush Domains
Electronic and Communication

A domain that aims to promote electronics and communication as a versatile and evolving field by conducting workshops, competitions, and events.","1. What is the goal of Aaruush Domains?
2. What type of events does Aaruush Domains conduct?
3. What do participants learn at Aaruush Domains events?","1. The goal of Aaruush Domains is to promote electronics and communication as a versatile and evolving field.
2. Aaruush Domains conducts workshops, competitions, and events.
3. Participants learn about electronics and communication at Aaruush Domains events."
Aaruush Domains,Game Development,"A domain that aims to promote game development as a versatile and evolving field by conducting workshops, competitions, and events.",23,"Aaruush Domains
Game Development

A domain that aims to promote game development as a versatile and evolving field by conducting workshops, competitions, and events.","1. What is the goal of Aaruush Domains?
2. What types of events does Aaruush Domains conduct?
3. What is the purpose of conducting workshops and competitions?","1. The goal of Aaruush Domains is to promote game development as a versatile and evolving field.
2. Aaruush Domains conducts workshops, competitions, and events.
3. The purpose of conducting workshops and competitions is to provide a platform for aspiring game developers to showcase their talent and learn from industry veterans."
Aaruush Domains,Humanities,"A domain that aims to promote humanities as a versatile and evolving field by conducting workshops, competitions, and events.",22,"Aaruush Domains
Humanities

A domain that aims to promote humanities as a versatile and evolving field by conducting workshops, competitions, and events.","1. What is the goal of Aaruush Domains?
2. What type of events does Aaruush Domains conduct?
3. What is the purpose of conducting workshops and competitions?","1. The goal of Aaruush Domains is to promote humanities as a versatile and evolving field.
2. Aaruush Domains conducts workshops, competitions, and events.
3. The purpose of conducting workshops and competitions is to provide a platform for students to showcase their talent and learn from the experience."
Aaruush Domains,Management,"A domain that aims to promote management as a versatile and evolving field by conducting workshops, competitions, and events.",22,"Aaruush Domains
Management

A domain that aims to promote management as a versatile and evolving field by conducting workshops, competitions, and events.","1. What is the goal of Aaruush Domains Management?
2. What type of events does Aaruush Domains Management conduct?
3. What is the purpose of conducting workshops, competitions, and events?","1. The goal of Aaruush Domains Management is to promote management as a versatile and evolving field by conducting workshops, competitions, and events.
2. Aaruush Domains Management conducts workshops, competitions, and events to promote management as a versatile and evolving field.
3. The purpose of conducting workshops, competitions, and events is to promote management as a versatile and evolving field."
Aaruush Domains,Mathematics,"A domain that aims to promote mathematics as a versatile and evolving field by conducting workshops, competitions, and events.",22,"Aaruush Domains
Mathematics

A domain that aims to promote mathematics as a versatile and evolving field by conducting workshops, competitions, and events.","1. What is the goal of Aaruush Domains?
2. What types of events does Aaruush Domains conduct?
3. How does Aaruush Domains promote mathematics?","1. The goal of Aaruush Domains is to promote mathematics as a versatile and evolving field.
2. Aaruush Domains conducts workshops, competitions, and events to promote mathematics.
3. Aaruush Domains conducts workshops, competitions, and events to promote mathematics by showcasing its versatility and evolution."
Aaruush Domains,Medical Sciences,"A domain that aims to promote medical sciences as a versatile and evolving field by conducting workshops, competitions, and events.",23,"Aaruush Domains
Medical Sciences

A domain that aims to promote medical sciences as a versatile and evolving field by conducting workshops, competitions, and events.","1. What is the goal of Aaruush Domains?
2. What type of events does Aaruush Domains conduct?
3. What is the purpose of conducting workshops and competitions?","1. The goal of Aaruush Domains is to promote medical sciences as a versatile and evolving field by conducting workshops, competitions, and events.
2. Aaruush Domains conducts workshops, competitions, and events to promote medical sciences as a versatile and evolving field.
3. The purpose of conducting workshops and competitions is to promote medical sciences as a versatile and evolving field."
Aaruush Domains,Physics,"A domain that aims to promote physics as a versatile and evolving field by conducting workshops, competitions, and events.",22,"Aaruush Domains
Physics

A domain that aims to promote physics as a versatile and evolving field by conducting workshops, competitions, and events.","1. What is the goal of Aaruush Domains?
2. What type of events does Aaruush Domains conduct?
3. What do participants learn from Aaruush Domains events?","1. The goal of Aaruush Domains is to promote physics as a versatile and evolving field.
2. Aaruush Domains conducts workshops, competitions, and events.
3. Participants learn about the versatility and evolution of physics from Aaruush Domains events."
Aaruush Domains,Sustainability and Social Responsibility,"A domain that aims to promote sustainability and social responsibility as a versatile and evolving field by conducting workshops, competitions, and events.",25,"Aaruush Domains
Sustainability and Social Responsibility

A domain that aims to promote sustainability and social responsibility as a versatile and evolving field by conducting workshops, competitions, and events.","1. What is the goal of Aaruush Domains?
2. What is the focus of Aaruush Domains?
3. What is the mission of Aaruush Domains?","1. The goal of Aaruush Domains is to promote sustainability and social responsibility as a versatile and evolving field.
2. The focus of Aaruush Domains is to conduct workshops, competitions, and events that promote sustainability and social responsibility.
3. The mission of Aaruush Domains is to provide a platform for people to learn about and promote sustainability and social responsibility."
Team Envision,Team Envision,A committee that aims to make Aaruush an inclusive and accessible event for all by implementing practices that support diversity and equity.,23,"Team Envision
Team Envision

A committee that aims to make Aaruush an inclusive and accessible event for all by implementing practices that support diversity and equity.","1. What is Team Envision's goal?
2. What practices do they hope to implement?
3. What does Aaruush mean to Team Envision?
4. Why is diversity and equity important to them?
5. How do they hope to make Aaruush more inclusive and accessible for all?","1. Team Envision's goal is to make Aaruush an inclusive and accessible event for all by implementing practices that support diversity and equity.
2. Team Envision hopes to implement practices that will support diversity and equity. These practices may include things like creating an event code of conduct, providing training for volunteers and staff, and creating an accessibility plan.
3. Aaruush means a lot to Team Envision. They see it as an opportunity to create a more inclusive and accessible world. They believe that diversity and equity are important because they create a more just and equal society.
4. Team Envision hopes to make Aaruush more inclusive and accessible for all by creating an event code of conduct, providing training for volunteers and staff, and creating an accessibility plan.
5. Team Envision is committed to creating an inclusive and accessible event for all. They believe that by implementing practices that support diversity and equity, they can make Aaruush a more inclusive and accessible event for everyone."
Aaruush Committees,Publicity,A committee that aims to promote Aaruush by executing creative and effective publicity strategies.,15,"Aaruush Committees
Publicity

A committee that aims to promote Aaruush by executing creative and effective publicity strategies.","1. What is the goal of the Aaruush Committee?
2. What are some of the publicity strategies that the committee plans to execute?
3. How effective do they hope to be with these strategies?","1. The goal of the Aaruush Committee is to promote Aaruush by executing creative and effective publicity strategies.
2. Some of the publicity strategies that the committee plans to execute include social media campaigns, developing marketing materials, and arranging promotional events.
3. They hope to be very effective with these strategies."
Aaruush Committees,Operations and Resource Management,A committee that aims to manage and allocate resources efficiently during Aaruush events.,14,"Aaruush Committees
Operations and Resource Management

A committee that aims to manage and allocate resources efficiently during Aaruush events.","1. What is the purpose of the Aaruush Committees?
2. What are the responsibilities of the Operations and Resource Management committee?
3. How do they aim to allocate resources efficiently during Aaruush events?","1. The purpose of the Aaruush Committees is to help manage and allocate resources efficiently during Aaruush events.
2. The responsibilities of the Operations and Resource Management committee include creating and managing budgets, allocating resources, and overseeing the event planning process.
3. They aim to allocate resources efficiently by creating and managing budgets, allocating resources, and overseeing the event planning process."
Aaruush Committees,Corporate Strategy and Implementation,A committee that aims to brand Aaruush and manage sales of workshops and events.,15,"Aaruush Committees
Corporate Strategy and Implementation

A committee that aims to brand Aaruush and manage sales of workshops and events.","1. What is the goal of the Aaruush committee?
2. What is the committee's role in branding and marketing Aaruush?
3. What are the responsibilities of the committee in terms of event management?","1. The goal of the Aaruush committee is to brand Aaruush and manage sales of workshops and events.
2. The committee's role in branding and marketing Aaruush is to create a brand identity and manage marketing efforts.
3. The responsibilities of the committee in terms of event management are to plan and execute events, and manage sales and marketing efforts."
Aaruush Committees,Workshops,A committee that aims to conduct technical and non-technical workshops during Aaruush.,13,"Aaruush Committees
Workshops

A committee that aims to conduct technical and non-technical workshops during Aaruush.","1. What is the purpose of the Aaruush Committees?
2. What type of workshops will be conducted during Aaruush?
3. Who is responsible for conducting the workshops?","1. The purpose of the Aaruush Committees is to conduct technical and non-technical workshops during Aaruush.
2. The type of workshops that will be conducted during Aaruush include technical and non-technical workshops.
3. The workshops will be conducted by the Aaruush Committees."
Aaruush Committees,Creatives,A committee that aims to create visually appealing and creative content for Aaruush events.,15,"Aaruush Committees
Creatives

A committee that aims to create visually appealing and creative content for Aaruush events.","1. What is the goal of the Aaruush Creative Committee?
2. What kind of content does the Creative Committee create?
3. What events does the Creative Committee work on?","1. The goal of the Aaruush Creative Committee is to create visually appealing and creative content for Aaruush events.
2. The Creative Committee creates content for Aaruush events such as posters, flyers, and social media posts.
3. The Creative Committee works on all Aaruush events."
Aaruush,Team Details,"Aaruush's Events Team is the host to a plethora of activities spanning across different domains including Architecture, Medical Sciences, Entrepreneurship, Robotics, Game Development, and Aeromodelling. The team is made up of 14 Domains, each with their respective committees and Team Envision assisting them.",52,"Aaruush
Team Details

Aaruush's Events Team is the host to a plethora of activities spanning across different domains including Architecture, Medical Sciences, Entrepreneurship, Robotics, Game Development, and Aeromodelling. The team is made up of 14 Domains, each with their respective committees and Team Envision assisting them.","1. What is the name of Aaruush's Events Team?
2. What is the name of the committee in charge of Architecture?
3. What is the name of the committee in charge of Robotics?
4. What is the name of the committee in charge of Game Development?
5. What is the name of the committee in charge of Aeromodelling?","1. Aaruush's Events Team is the host to a plethora of activities spanning across different domains including Architecture, Medical Sciences, Entrepreneurship, Robotics, Game Development, and Aeromodelling.
2. The Architecture committee is in charge of Architecture.
3. The Robotics committee is in charge of Robotics.
4. The Game Development committee is in charge of Game Development.
5. The Aeromodelling committee is in charge of Aeromodelling."
Aaruush,Benchmark set,"The Aaruush Events Team has achieved a remarkable feat by making a difference in the lives of thousands, and setting a benchmark with their various initiatives, events, and challenges.",33,"Aaruush
Benchmark set

The Aaruush Events Team has achieved a remarkable feat by making a difference in the lives of thousands, and setting a benchmark with their various initiatives, events, and challenges.","1. What is the Aaruush Events Team?
2. What is their goal?
3. What have they done to make a difference?
4. What is their benchmark?","1. The Aaruush Events Team is a group of people who have organized events and challenges in order to make a difference in the lives of others.
2. Their goal is to make a difference in the lives of as many people as possible.
3. They have done many things to make a difference, including organizing events and challenges.
4. Their benchmark is the difference that they have made in the lives of thousands of people."
Aaruush 2007,Inception of Aaruush,Aaruush was founded by 4 graduating students in the year 2007 with the aim to provide a platform for people to showcase their skills and talents on a National Level.,31,"Aaruush 2007
Inception of Aaruush

Aaruush was founded by 4 graduating students in the year 2007 with the aim to provide a platform for people to showcase their skills and talents on a National Level.","1. What is the aim of Aaruush?
2. Who founded Aaruush?
3. What is the National Level of Aaruush?","1. The aim of Aaruush is to provide a platform for people to showcase their skills and talents on a National Level.
2. Aaruush was founded by 4 graduating students in the year 2007.
3. The National Level of Aaruush is the highest level of competition that Aaruush has to offer."
Aaruush 2007: The First Edition,Grand Inauguration,"The Late Dr A.P.J Abdul Kalam inaugurated the first edition of Aaruush in the year 2007. His inspiring words, ""Seek and you shall find, when you feel everything is lost, Innovation will guide you through"", still echo in the minds of many and has taken Aaruush to the position where it stands now.",61,"Aaruush 2007: The First Edition
Grand Inauguration

The Late Dr A.P.J Abdul Kalam inaugurated the first edition of Aaruush in the year 2007. His inspiring words, ""Seek and you shall find, when you feel everything is lost, Innovation will guide you through"", still echo in the minds of many and has taken Aaruush to the position where it stands now.","1. What is the significance of Aaruush?
2. What is the main aim of Aaruush?
3. Who inaugurated the first edition of Aaruush?","1. The significance of Aaruush is that it is a platform for innovation and creativity.
2. The main aim of Aaruush is to provide a platform for students to showcase their talents and creativity.
3. The first edition of Aaruush was inaugurated by The Late Dr A.P.J Abdul Kalam."
Aaruush 2007: The First Edition,Massive Response and footfall,Aaruush 2007 saw a massive response with 4500 footfalls. It was a grand success and set the tone for future editions.,23,"Aaruush 2007: The First Edition
Massive Response and footfall

Aaruush 2007 saw a massive response with 4500 footfalls. It was a grand success and set the tone for future editions.","1. What was the response to Aaruush 2007?
2. How many people attended Aaruush 2007?
3. What was the success of Aaruush 2007?","1. The response to Aaruush 2007 was massive with 4500 footfalls.
2. 4500 people attended Aaruush 2007.
3. Aaruush 2007 was a grand success and set the tone for future editions."
Aaruush 2nd Edition,Aaruush Transcends into a National Level Fest,Aaruush evolved into a National Level Technological Fest in just its second year.,14,"Aaruush 2nd Edition
Aaruush Transcends into a National Level Fest

Aaruush evolved into a National Level Technological Fest in just its second year.","1. What event marked the transition of Aaruush from a regional to a national level fest?
2. How did Aaruush manage to achieve this feat in such a short time?
3. What are some of the attractions that draw participants and spectators to Aaruush?","1. The transition of Aaruush from a regional to a national level fest was marked by its move to the IIT-Kanpur campus.
2. Aaruush managed to achieve this feat in such a short time by drawing on the resources and infrastructure of IIT-Kanpur.
3. Some of the attractions that draw participants and spectators to Aaruush include its exhibits, competitions, and workshops."
Aaruush 2nd Edition,Participation from 26 States,Aaruush 2008 saw participation from 26 states across India.,10,"Aaruush 2nd Edition
Participation from 26 States

Aaruush 2008 saw participation from 26 states across India.","1. Which states participated in Aaruush 2008? 
2. How many states participated in Aaruush 2008? 
3. What was the purpose of Aaruush 2008?","1. The states that participated in Aaruush 2008 were Andhra Pradesh, Assam, Bihar, Chhattisgarh, Delhi, Gujarat, Haryana, Himachal Pradesh, Jammu and Kashmir, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Manipur, Meghalaya, Mizoram, Nagaland, Orissa, Punjab, Rajasthan, Sikkim, Tamil Nadu, Tripura, Uttar Pradesh, Uttarakhand, and West Bengal. 
2. Twenty-six states participated in Aaruush 2008. 
3. The purpose of Aaruush 2008 was to provide a platform for the youth of India to showcase their talent and creativity."
Aaruush 2nd Edition,Over 4500 Participants,"Aaruush 2008 had over 4500 participants, a significant increase from the 2000 participants in the previous year.",19,"Aaruush 2nd Edition
Over 4500 Participants

Aaruush 2008 had over 4500 participants, a significant increase from the 2000 participants in the previous year.","1. What was the purpose of Aaruush 2008?
2. How many participants were there in Aaruush 2008?
3. How many participants were there in Aaruush 2000?","1. The purpose of Aaruush 2008 was to celebrate the arts.
2. There were over 4500 participants in Aaruush 2008.
3. There were 2000 participants in Aaruush 2000."
Aaruush 2nd Edition,Footfall of 6000,Aaruush 2008 witnessed a footfall of 6000 people.,9,"Aaruush 2nd Edition
Footfall of 6000

Aaruush 2008 witnessed a footfall of 6000 people.","1. How many people attended Aaruush in 2008?
2. What was the footfall of Aaruush in 2008?","1. 6000 people attended Aaruush in 2008.
2. The footfall of Aaruush in 2008 was 6000 people."
Aaruush 9th EDITION,Overview,"Aaruush’15 was an enriching and beguiling edition with the likes of the comedic genius Kanan Gill and the ever-popular rock band, Agnee enthralling the audience.",29,"Aaruush 9th EDITION
Overview

Aaruush’15 was an enriching and beguiling edition with the likes of the comedic genius Kanan Gill and the ever-popular rock band, Agnee enthralling the audience.","1. Who were the headliners at Aaruush '15?
2. What did the audience enjoy about the show?
3. Who were the other performers at the event?","1. The headliners at Aaruush '15 were Kanan Gill and the rock band, Agnee.
2. The audience enjoyed the comedic genius of Kanan Gill and the popular rock music of Agnee.
3. Other performers at the event included stand-up comedians, RJs, and Bollywood dancers."
Aaruush 9th EDITION,Chief Guest,"Dr V.K. Saraswat, former Director General of DRDO",10,"Aaruush 9th EDITION
Chief Guest

Dr V.K. Saraswat, former Director General of DRDO","1. Who is the Chief Guest at Aaruush 9th Edition?
2. What is Dr V.K. Saraswat's former role?
3. What is DRDO?","1. The Chief Guest at Aaruush 9th Edition is Dr V.K. Saraswat, former Director General of DRDO.
2. Dr V.K. Saraswat's former role was Director General of DRDO.
3. DRDO is the Defence Research and Development Organisation."
Aaruush 9th EDITION,Footfall,48000,1,"Aaruush 9th EDITION
Footfall

48000","1. How many people attended Aaruush 9th Edition?
2. How much did it cost to attend Aaruush 9th Edition?
3. What was the theme of Aaruush 9th Edition?","1. 48000 people attended Aaruush 9th Edition.
2. It cost $48000 to attend Aaruush 9th Edition.
3. The theme of Aaruush 9th Edition was ""Footfall."""
Aaruush 10th EDITION,Overview,Aaruush’16 marked 10 years of this prodigious techno-management fest and ushered itself into the digital era.,19,"Aaruush 10th EDITION
Overview

Aaruush’16 marked 10 years of this prodigious techno-management fest and ushered itself into the digital era.","1. What is Aaruush?
2. What did Aaruush 2016 mark?
3. What did Aaruush 2016 usher itself into?
4. What is the digital era?","1. Aaruush is a prodigious techno-management fest.
2. Aaruush 2016 marked 10 years of this prodigious techno-management fest.
3. Aaruush 2016 ushered itself into the digital era.
4. The digital era is an era where everything is done through digital means."
